최종 수정일 : 2025.07.26,,,,,,,,,,
* 데이터 테이블에 문제가 있거나 질문사항이 있다면 '이기석' 혹은 '진승오' 에게 연락 부탁드립니다.,,,,,,,,,,
플레이어 공격 패턴 ID ,노드 패턴01,노드 패턴02,비고,,,,,,,플레이어 공격 패턴 테이블 특징
string,string,string,노드 패턴01,,,노드패턴2,,,,"? 점이 겹치지 않음

? 종착점의 행 그룹(상단,중단,하단)이 다름

? 방향이 완전히 다름

? 적의 공격 패턴과 반대 방향 패턴을 모두 제외함"
Player_pattern_ID,Node_pattern01,Node_pattern02,Node_01,Node_02,Node_03,Node_01,Node_02,Node_03,,
PI_001,NP_008,NP_295,1,4,3,9,2,7,,
PI_002,NP_222,NP_077,7,2,1,3,4,5,,
PI_006,NP_156,NP_005,5,4,3,1,2,7,,
PI_007,NP_033,NP_243,2,1,4,7,6,3,,
PI_008,NP_227,NP_075,7,2,9,3,4,1,,
PI_009,NP_033,NP_248,2,1,4,7,8,3,,
PI_010,NP_222,NP_079,7,2,1,3,4,8,,
PI_012,NP_225,NP_075,7,2,5,3,4,1,,
PI_013,NP_077,NP_222,3,4,5,7,2,1,,
PI_014,NP_298,NP_005,9,4,3,1,2,7,,
PI_017,NP_080,NP_222,3,4,9,7,2,1,,
PI_019,NP_049,NP_103,2,5,3,4,1,7,,
PI_021,NP_222,NP_080,7,2,1,3,4,9,,
PI_022,NP_005,NP_298,1,2,7,9,4,3,,
PI_023,NP_152,NP_007,5,3,7,1,4,2,,
PI_025,NP_193,NP_008,6,2,7,1,4,3,,
PI_026,NP_005,NP_156,1,2,7,5,4,3,,
PI_027,NP_075,NP_225,3,4,1,7,2,5,,
PI_028,NP_169,NP_002,5,7,3,1,2,4,,
PI_029,NP_263,NP_005,8,4,3,1,2,7,,
PI_030,NP_005,NP_263,1,2,7,8,4,3,,
PI_031,NP_008,NP_146,1,4,3,5,2,7,,
PI_032,NP_295,NP_008,9,2,7,1,4,3,,
PI_033,NP_146,NP_008,5,2,7,1,4,3,,
PI_034,NP_291,NP_030,9,2,3,1,8,7,,
PI_035,NP_298,NP_023,9,4,3,1,6,7,,
PI_036,NP_300,NP_021,9,4,7,1,6,3,,
PI_037,NP_265,NP_021,8,4,7,1,6,3,,
PI_038,NP_193,NP_026,6,2,7,1,8,3,,
PI_039,NP_190,NP_030,6,2,3,1,8,7,,
PI_040,NP_263,NP_023,8,4,3,1,6,7,,
